#,Palavra,Pronúncia,Tradução,Contexto
1,the,dã,"o, a, os, as",The book on the table belongs to me.
2,to be,tu bi,"ser, estar",She wants to be a doctor when she grows up.
3,and,endi,e,He likes pizza and ice cream.
4,of,óv,de,The cover of the magazine is very colorful.
5,a,a,"um, uma",She adopted a kitten from the shelter.
6,in,in,"em, dentro",They found the keys in the drawer.
8,to have,tu rév,ter,He wants to have a big party for his birthday.
9,to,tu,"para, a",We need to talk about the meeting.
10,it,it,"isso, ele, ela",It is raining outside.
11,I,ai,eu,I will help you with your homework.
12,that,dét,"essea, aquelea, aquilo",The book that you lent me is fascinating.
13,for,for,"para, por",This gift is for you.
14,you,iu,"tu, você, vós",Do you want to join us for dinner?
15,he,ri,ele,He is going to the gym.
16,with,uif,com,She went to the concert with her friends.
17,on,on,"em, em cima",The cat is sleeping on the couch.
18,to do,tu du,fazer,I have so many things to do today.
19,to say,tu sei,"dizer, falar, contar",He had something important to say.
20,this,dis,"estea, essea",This is the best cake I've ever tasted.
21,they,dei,"eles, elas",They are planning a trip to Europe.
22,at,ét,em,She will meet us at the cafe.
23,but,bãt,mas,"I want to go, but I have to study."
24,we,ui,"nós, a gente",We decided to go hiking this weekend.
25,his,riz,dele,He lost his keys somewhere in the house.
26,from,from,de,She received a letter from her friend.
27,that,dét,"essea, aquelea, aquilo",She said that she would be late.
28,not,nót,não,He does not like broccoli.
29,n't,nt,não,I can't believe it's already June!
30,by,bai,por,The poem was written by Emily Dickinson.
31,she,xi,ela,She is very excited about the project.
32,or,ór,ou,Do you want tea or coffee?
33,as,éz,como,He works as a teacher.
34,what,uót,"que, qual",What are you doing this weekend?
35,to go,tu gou,ir,They are planning to go to the beach.
36,their,dér,"deles, delas",Their house is at the end of the street.
37,can,kén,"poder, conseguir",She can play the piano very well.
38,who,ru,quem,Who is your favorite author?
39,to get,tu guét,pegar,He needs to get some rest.
40,if,if,se,"If it rains, we will stay indoors."
41,would,ud,"-aria, -eria, -iria",I would love to visit Paris someday.
42,her,rãr,dela,Her favorite color is blue.
43,all,ól,"tudo, todoa,os, as",All the students passed the exam.
44,my,mai,"meu, minha",This is my favorite song.
45,to make,tu meik,"fazer, criar",He likes to make his own furniture.
46,about,abáut,sobre,We need to talk about your plans.
47,to know,tu nou,"saber, conhecer",She wants to know more about the topic.
48,will,uil,"-ará, -erá, -irá",He will arrive at 6 PM.
49,as,éz,como,She is as tall as her brother.
50,up,ãp,para cima,He stood up and walked to the door.
51,one,uan,"um, uma",She is the one who called earlier.
52,time,taim,"tempo, hora",Time flies when you're having fun.
53,there,dér,alí,There is a new restaurant in town.
54,year,ir,ano,This year has been very challenging.
55,so,sou,tão,"She was tired, so she went to bed early."
56,to think,tu fink,"pensar, achar",He likes to think about the future.
57,when,uén,quando,Call me when you get home.
58,which,uitx,qual,Which one do you prefer?
59,them,dém,"eles, elas",She invited them to her party.
60,some,sãm,"algum, alguns, algumas",Would you like some coffee?
61,me,mi,mim,She gave me a book for my birthday.
62,people,pípol,"pessoas, gente",People from all over the world visit this museum.
63,to take,tu teik,levar,Don't forget to take your umbrella.
64,out,aut,"fora, para fora",Let's go out for dinner tonight.
65,into,intu,"dentro, para dentro",He dived into the pool.
66,just,djust,"só, apenas",I just finished my homework.
67,to see,tu si,ver,We went to see a movie last night.
68,him,rim,ele,I saw him at the store yesterday.
69,your,iór,"seu, sua, seus, suas",Don't forget your keys.
70,to come,tu kãm,vir,Are you going to come to the party?
71,could,kud,poderia,Could you help me with this problem?
72,now,nau,agora,I need to leave now.
73,than,dén,do que,She is taller than her brother.
74,like,laik,como,I like to read books.
75,other,ódãr,outroa,She has many other interests.
76,how,rau,como,How do you solve this puzzle?
77,then,dén,então,"Finish your work, then you can play."
78,its,its,"dele, dela",The cat licked its paws.
79,our,aur,nosso,This is our favorite restaurant.
80,two,tu,"dois, duas",I have two brothers.
81,more,mór,mais,She wants to learn more about science.
82,these,diz,"estes, estas, esses, essas",These cookies are delicious.
83,to want,tu uant,querer,I want to travel to Japan.
84,way,uei,"caminho, maneira",This is the best way to learn.
85,to look,tu luk,"ver, olhar",Look both ways before crossing the street.
86,first,fãrst,primeiroa,She was the first to arrive.
87,also,ólso,também,He is smart and also very kind.
88,new,niu,novo,I bought a new phone.
89,because,bikóz,"porque, pois",She stayed home because she was sick.
90,day,dei,dia,It's a beautiful day outside.
91,more,mór,mais,He asked for more time to finish the project.
92,to use,tu iuz,"usar, utilizar",Do you know how to use this tool?
93,no,nou,nenhuma,"No, I haven't seen your keys."
94,man,mén,homem,The man at the counter was very helpful.
95,to find,tu faind,"encontrar, achar",I need to find my glasses.
96,here,rir,aqui,Please sit here.
97,thing,fing,"coisa, bagulho",What's that thing on the table?
98,to give,tu guiv,"dar, entregar",I want to give you a gift.
99,many,méni,muitos,There are many options to choose from.
100,well,uél,bem,She did well on her exam.
101,only,óunli,"somente, apenas",She was the only one who understood the problem.
102,those,douz,aqueles(as),Those books on the shelf belong to my sister.
103,to tell,tu tél,"dizer, contar, falar",I need to tell you something important.
104,one,uan,se,There is only one cookie left in the jar.
105,very,véri,muito,She was very happy with her test results.
106,her,rãr,ela,Her smile brightened the entire room.
107,even,ívãn,mesmo,"Even though it was raining, they went for a walk."
108,back,bék,"para trás, de volta",He came back from his trip last night.
109,any,éni,qualquer uma,Do you have any questions about the project?
110,good,gud,"bom, boa, bons, boas",This is a good opportunity for you to learn.
111,woman,uôman,mulher,The woman at the counter helped me find the right size.
112,through,thrú,"por, através",We walked through the park on our way home.
113,us,ãs,nós,The teacher gave us extra homework.
114,life,laif,a vida,He dedicated his life to helping others.
115,child,tcháild,criança,The child was playing in the garden.
116,there,dér,"alí, lá",There is a cat under the table.
117,to work,tu uãrk,"trabalhar, funcionar",She has to work late tonight.
118,down,daun,"em baixo, para baixo",They walked down the hill to the village.
119,may,mei,"talvez, poderia",We may go to the beach this weekend.
120,after,áftãr,depois,We went for ice cream after the movie.
121,should,xud,deveria,You should call your mother more often.
122,to call,tu kól,"chamar, ligar",He decided to call her later.
123,world,uãrld,mundo,She wants to travel around the world.
124,over,óuvãr,"por cima de, em cima",The bird flew over the tree.
125,school,skul,escola,The children are excited to go back to school.
126,still,stiu,"ainda, todavia",She is still waiting for the bus.
127,to try,tu trai,"tentar, experimentar",I am going to try a new recipe tonight.
128,in,in,"em, dentro",They are in the living room.
129,as,éz,"tanto, como","As soon as she arrived, the party started."
130,last,lást,último,This is the last piece of the puzzle.
131,to ask,tu ésk,"perguntar, pedir",He wanted to ask her a question.
132,to need,tu nid,"precisar, necessitar",They need more volunteers for the event.
133,too,tu,também,It’s too hot to go outside.
134,to feel,tu fil,sentir,I feel happy when I’m with my friends.
135,three,θri,três,She has three cats.
136,when,uén,quando,When will you come to visit?
137,state,steit,estado,The state fair is next week.
138,never,névãr,nunca,He has never been to Paris.
139,to become,tu bikãm,se tornar,She wants to become a doctor.
140,between,bituín,entre,The keys are between the cushions.
141,high,rai,alto,The mountain is very high.
142,really,ríli,realmente,I really enjoyed the concert.
143,something,sãmθing,"algo, alguma coisa",There is something I need to tell you.
144,most,moust,a maioria de,Most people like chocolate.
145,another,ãnódãr,outro,Can I have another cup of coffee?
146,much,mãtch,muitoa,She doesn’t have much time to finish her work.
147,family,fémili,família,Her family is very supportive.
148,own,oun,próprio,He wants to buy his own house.
149,out,aut,"fora de, para fora",She went out to meet her friends.
150,to leave,tu liv,"sair, partir",They plan to leave early in the morning.
151,to put,tu put,"colocar, por",He needs to put the books back on the shelf.
152,old,ould,velho,She found an old photo album in the attic.
153,while,wail,enquanto,She read a book while waiting for the train.
154,to mean,tu min,significar,What does this word mean?
155,on,on,sobre,The book is on the table.
156,to keep,tu kip,"ficar, manter, guardar",He decided to keep the old letters.
157,student,stiudãnt,estudante,The student asked a lot of questions.
158,why,uai,por quê,She wondered why he was late.
159,to let,tu lẽt,"permitir, deixar",She decided to let him go to the party.
160,great,greit,"ótimo, grande",They had a great time at the amusement park.
161,same,seim,mesmo,They are wearing the same shirt.
162,big,big,grande,The dog is very big.
163,group,grup,grupo,They formed a study group for the exam.
164,to begin,tu bigín,"começar, iniciar",She is ready to begin her new job.
165,to seem,tu sim,parecer,It seems like a good idea.
166,country,kãntri,país,They moved to the countryside for a quieter life.
167,to help,tu rélp,ajudar,He offered to help with the project.
168,to talk,tu tóuk,"falar, conversar",They like to talk about movies.
169,where,uér,onde,Do you know where the keys are?
170,to turn,tu tãrn,"virar, transformar",She decided to turn left at the corner.
171,problem,próblém,problema,They solved the problem together.
172,every,évri,todo,Every student passed the exam.
173,to start,tu start,"começar, iniciar",They plan to start the project next week.
174,hand,rénd,mão,She held his hand tightly.
175,might,mait,talvéz,He might come to the party.
176,American,amérikãn,americano,She loves American movies.
177,to show,tu xou,"mostrar, exibir",He wants to show her the new house.
178,part,párt,"parte, porção",This is part of the larger plan.
179,about,abáut,sobre,They were talking about the new movie.
180,against,ãguéinst,contra,They are playing against the champions.
181,place,pleis,lugar,This is a nice place to live.
182,over,óuvãr,"por cima, em cima",She looked over the documents carefully.
183,such,sãtch,"tal, assim",She has such a kind heart.
184,again,ãguén,"de novo, novamente",He asked her to repeat the story again.
185,few,fiu,pouco,There are only a few cookies left.
186,case,keis,caso,"In this case, we should be careful."
187,most,moust,a maioria de,Most people agree with the decision.
188,week,uik,semana,They are going on vacation next week.
189,company,kãmpãni,empresa,She works for a large company.
190,where,uér,onde,Can you show me where it hurts?
191,system,sístêm,sistema,The new system is much faster.
192,each,itx,"cada, toda",Each student received a book.
193,right,rait,"bem, logo",Turn right at the next street.
194,program,próugrém,programa,The program starts at 8 PM.
195,to hear,tu riar,"ouvir, escutar",She was happy to hear the good news.
196,so,sou,então,"It was raining, so they stayed indoors."
197,question,kuéstchãn,pergunta,She asked a difficult question.
198,during,djurín,durante,They stayed inside during the storm.
199,work,uãrk,trabalho,He has a lot of work to do.
200,to play,tu plei,"jogar, brincar, tocar",The children love to play outside.
201,government,gãvãrnment,governo,The government announced a new policy.
202,to run,tu rãn,"correr, fugir, se candidatar",She likes to run in the park.
203,small,smól,pequeno,The house is small but cozy.
204,number,nãmber,número,She forgot her phone number.
205,off,óf,fora,She turned off the lights.
206,always,óulwêiz,sempre,He always remembers her birthday.
207,to move,tu muv,"mover, mexer, mudar",They decided to move to a new city.
208,to like,tu laik,gostar,She likes to read books.
209,night,nait,noite,They went for a walk at night.
210,to live,tu liv,"viver, morar",She wants to live in the countryside.
211,Mr.,místãr,senhor,Mr. Smith is our new neighbor.
212,point,point,ponto,The point of the story is to be kind.
213,to believe,tu biliv,"acreditar, achar",He wants to believe in magic.
214,to hold,tu rould,"segurar, manter",She tried to hold back her tears.
215,today,tu dei,hoje,Today is a special day.
216,to bring,tu bring,"trazer, levar",Don’t forget to bring your book.
217,to happen,tu rápãn,acontecer,She hopes something exciting will happen.
218,next,nékst,próximo,The next meeting is on Monday.
219,without,uitháut,sem,They survived without much food.
220,before,bifór,antes,She called me before leaving.
221,large,lárdj,grande,The large dog scared the children.
222,all,ól,todo,All the students passed the test.
223,million,mílion,milhão,The company made a million dollars in profit.
224,must,mâst,dever,You must finish your homework.
225,home,roum,"casa, lar",They are building a new home.
226,under,ânder,"debaixo, embaixo",The cat is hiding under the bed.
227,water,uórer,água,The lake water is very cold.
228,room,rúm,"quarto, espaço",There is a lot of room in the new house.
229,to write,ráit,escrever,She likes to write in her journal every night.
230,mother,máder,mãe,Her mother made a delicious dinner.
231,area,éria,área,This area is known for its beautiful parks.
232,national,náchional,nacional,The national holiday is next week.
233,money,mâni,dinheiro,He saved enough money to buy a car.
234,story,stóri,"história, estória",She told a fascinating story about her travels.
235,young,iâng,jovem,The young girl sang beautifully.
236,fact,féct,fato,It's a known fact that exercise is good for health.
237,month,mânth,mês,They are planning a vacation next month.
238,different,dífrent,diferente,She has a different opinion on the matter.
239,lot,lót,muito,There is a lot of work to be done.
240,right,ráit,direito,She turned right at the next intersection.
241,study,stádi,estudo,He needs to study for his exams.
242,book,búk,livro,She borrowed a book from the library.
243,eye,ái,olho,Her blue eye sparkled in the sunlight.
244,job,djób,"trabalho, emprego",He found a new job in the city.
245,word,uôrd,palavra,She couldn't find the right word to express herself.
246,though,dhôu,embora,"He went to the party, though he didn't feel well."
247,business,bíznes,"negócio, empresa",She started her own business last year.
248,issue,íxiu,assunto,They discussed the issue during the meeting.
249,side,sáid,lado,She stood by his side during the tough times.
250,kind,cáind,tipo,He is a very kind person.
251,four,fór,quatro,They have four children.
252,head,réd,cabeça,She nodded her head in agreement.
253,far,fár,longe,They traveled far to see the ancient ruins.
254,black,blék,"negro, preto",She wore a black dress to the event.
255,long,lóng,comprido,They have been friends for a long time.
256,both,bôuth,ambos,Both options are good.
257,little,lítol,pequeno,She has a little dog named Max.
258,house,ráus,casa,They bought a new house in the suburbs.
259,yes,iés,sim,She answered with a simple 'yes'.
260,after,áfter,depois,They went out for dinner after the movie.
261,since,sîns,desde,She has been working here since January.
262,long,lóng,tempo,He has long hair that reaches his shoulders.
263,to provide,prouvaíd,"fornecer, proporcionar",The company aims to provide excellent customer service.
264,service,sârvis,serviço,The restaurant's service was outstanding.
265,around,aráund,"por volta de, ao redor de",They walked around the park.
266,friend,frénd,amigo,She met her best friend in college.
